basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20250616,003490,KR7003490000,대한항공,KOSPI,21350,-100,-.47,21300,21450,21050,1455552,30870630325,368220661,7861511112350
20250616,003495,KR7003491008,대한항공우,KOSPI,22850,150,.66,22550,22950,22400,4505,101956625,1110794,25381642900
20250616,003520,KR7003520004,영진약품,KOSPI,2150,-25,-1.15,2165,2175,2120,290526,621689576,182892731,393219371650
20250616,003530,KR7003530003,한화투자증권,KOSPI,6210,200,3.33,5930,6250,5900,4018430,24632222550,214547775,1332341682750
20250616,003535,KR7003531001,한화투자증권우,KOSPI,9260,460,5.23,8570,9260,8570,88568,796248990,4800000,44448000000
20250616,003540,KR7003540002,대신증권,KOSPI,24800,150,.61,24350,25150,24350,343391,8488821850,50773400,1259180320000
20250616,003545,KR7003541000,대신증권우,KOSPI,19450,330,1.73,19000,19450,18950,139694,2691472435,26000000,505700000000
20250616,003547,KR7003542008,대신증권2우B,KOSPI,17990,350,1.98,17640,18040,17550,82606,1477357605,10000000,179900000000
20250616,003550,KR7003550001,LG,KOSPI,75600,800,1.07,74800,75800,73800,210903,15770448050,157251165,11888188074000
20250616,003555,KR7003551009,LG우,KOSPI,61800,800,1.31,61600,61800,60600,8322,510292400,3011199,186092098200
20250616,003560,KR7003560000,IHQ,KOSPI,10760,0,0,0,0,0,0,0,7083730,76220934800
20250616,003570,KR7003570009,SNT다이내믹스,KOSPI,56000,1300,2.38,55100,56600,54700,104265,5792036300,33252697,1862151032000
20250616,003580,KR7003580008,HLB글로벌,KOSPI,2970,-60,-1.98,2995,3085,2935,79049,233885660,50316578,149440236660
20250616,003610,KR7003610003,방림,KOSPI,4300,25,.58,4275,4300,4250,127322,546089500,40202158,172869279400
20250616,003620,KR7003620002,KG모빌리티,KOSPI,3345,-45,-1.33,3415,3415,3275,391547,1301869474,202374912,676944080640
20250616,003650,KR7003650009,미창석유,KOSPI,114000,100,.09,114100,116500,108100,2971,332933600,1739672,198322608000
20250616,003670,KR7003670007,포스코퓨처엠,KOSPI,118500,-4700,-3.81,122300,123500,118300,280423,33444384500,77463220,9179391570000
20250616,003680,KR7003680006,한성기업,KOSPI,5220,140,2.76,5060,5280,5050,40589,210420020,6209515,32413668300
20250616,003690,KR7003690005,코리안리,KOSPI,10150,210,2.11,9960,10180,9870,562075,5672130610,194821031,1977433464650
20250616,003720,KR7003720000,삼영,KOSPI,3860,50,1.31,3850,3870,3750,182246,695514322,34000000,131240000000
